#FeatureId,DATA_DATE,DATA_SRCE,DEC_LONG,DEC_LAT,PID,NAME,STATE,COUNTY,QUAD,LATITUDE,LONGITUDE,POS_DATUM,DATUM_TAG,POS_SRCE,ELEVATION,ELEV_DATUM,ELEV_SRCE,ELLIP_HT,ELLIP_SRCE,POS_ORDER,POS_CHECK,ELEV_ORDER,ELEV_CLASS,ELEV_CHECK,DIST_RATE,ELLP_ORDER,ELLP_CLASS,FIRST_RECV,LAST_RECV,LAST_COND,LAST_RECBY,SAT_USE,SAT_DATE,STABILITY
1,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0253,-106.63583, 35.19472,FO0253,1 ALM BR,NM,BERNALILLO,LOS GRIEGOS (1990),35 11 41.     (N),106 38 09.     (W),NAD 83,(1986),SCALED    , 1523.097,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1950    ,1984    ,MARK NOT FOUND  ,NGS,,,C
2,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0374,-106.57694, 35.07667,FO0374,1 E 1 5288,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 36.     (N),106 34 37.     (W),NAD 83,(1986),SCALED    , 1612.612,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,20041219,MARK NOT FOUND  ,GEOCAC,,,D
3,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0308,-106.78139, 35.11028,FO0308,12 1/2 RESET,NM,BERNALILLO,LA MESITA NEGRA SE (1990),35 06 37.     (N),106 46 53.     (W),NAD 83,(1986),SCALED    , 1752.674,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1951    ,1951    ,GOOD            ,CGS,,,D
4,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0306,-106.79861, 35.13500,FO0306,14,NM,BERNALILLO,THE VOLCANOES (1990),35 08 06.     (N),106 47 55.     (W),NAD 83,(1986),SCALED    , 1771.552,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,1951    ,GOOD            ,CGS,,,D
5,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO1161,-106.55522, 35.19871,FO1161,14 P,NM,BERNALILLO,ALAMEDA (1990),35 11 55.34806(N),106 33 18.77696(W),NAD 83,(1992),ADJUSTED  , 1651.39 ,NAVD 88 ,VERTCON   ,,,3,Y,,,,,,,1969    ,20050521,GOOD            ,GEOCAC,,,
6,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO1694,-106.87109, 35.13172,FO1694,16 CAH,NM,BERNALILLO,THE VOLCANOES (1990),35 07 54.18992(N),106 52 15.94072(W),NAD 83,(1992),ADJUSTED  , 1829.60 ,NAVD 88 ,VERTCON   ,,,3,Y,,,,,,,1952    ,1952    ,MONUMENTED      ,USGS,,,D
7,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0302,-106.81639, 35.18833,FO0302,18,NM,BERNALILLO,THE VOLCANOES (1990),35 11 18.     (N),106 48 59.     (W),NAD 83,(1986),SCALED    , 1785.675,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,1951    ,GOOD            ,CGS,,,D
8,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0369,-106.55417, 35.07417,FO0369,2,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 27.     (N),106 33 15.     (W),NAD 83,(1986),SCALED    , 1638.531,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1934    ,20100222,MARK NOT FOUND  ,INDIV,,,C
9,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0670,-106.68194, 34.92861,EQ0670,2,NM,BERNALILLO,ISLETA (1991),34 55 43.     (N),106 40 55.     (W),NAD 83,(1986),SCALED    , 1493.227,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1952    ,1982    ,GOOD            ,NGS,,,B
10,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0183,-106.37083, 35.03528,FO0183,215 A,NM,BERNALILLO,SEDILLO (1995),35 02 07.     (N),106 22 15.     (W),NAD 83,(1986),SCALED    , 2082.834,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,1935    ,GOOD            ,CGS,,,D
11,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0182,-106.35556, 35.03306,FO0182,215 B,NM,BERNALILLO,SEDILLO (1995),35 01 59.     (N),106 21 20.     (W),NAD 83,(1986),SCALED    , 2132.805,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,1935    ,GOOD            ,CGS,,,A
12,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0312,-106.71639, 35.08472,FO0312,24 P,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 05.     (N),106 42 59.     (W),NAD 83,(1986),SCALED    , 1555.657,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1934    ,20050206,MARK NOT FOUND  ,GEOCAC,,,D
13,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0375,-106.52722, 35.07111,FO0375,3 5487,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 16.     (N),106 31 38.     (W),NAD 83,(1986),SCALED    , 1673.218,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,1934    ,MONUMENTED      ,CGS,,,D
14,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0821,-106.78806, 35.06361,FO0821,3.L 5 V,NM,BERNALILLO,LA MESITA NEGRA SE (1990),35 03 49.     (N),106 47 17.     (W),NAD 83,(1986),SCALED    , 1742.373,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1972    ,20060205,GOOD            ,GEOCAC,,,C
15,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ1092,-107.06290, 34.99905,EQ1092,36 CAH,NM,BERNALILLO,SOUTH GARCIA (1971),34 59 56.59228(N),107 03 46.43436(W),NAD 83,(1992),ADJUSTED  , 1719.66 ,NAVD 88 ,VERTCON   ,,,3,Y,,,,,,,1952    ,1952    ,MONUMENTED      ,USGS,,,D
16,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0260,-106.59684, 35.21199,FO0260,3892 9,NM,BERNALILLO,ALAMEDA (1990),35 12 43.15521(N),106 35 48.61019(W),NAD 83,(1992),ADJUSTED  , 1526.844,NAVD 88 ,ADJUSTED  ,,,2,Y,1,2,Y,,,,1950    ,20071109,GOOD            ,INDIV,N,20050530,C
17,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0376,-106.50917, 35.06889,FO0376,4 E 1 5560,NM,BERNALILLO,ALBUQUERQUE EAST (1990),35 04 08.     (N),106 30 33.     (W),NAD 83,(1986),SCALED    , 1695.507,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,1934    ,MONUMENTED      ,CGS,,,D
18,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0825,-106.79611, 35.06111,FO0825,42 CAH RESET,NM,BERNALILLO,LA MESITA NEGRA SE (1990),35 03 40.     (N),106 47 46.     (W),NAD 83,(1986),SCALED    , 1745.446,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,1968    ,20051121,GOOD            ,GEOCAC,Y,19911011,C
19,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0288,-106.72250, 34.86861,EQ0288,4869,NM,BERNALILLO,LOS LUNAS (1991),34 52 07.     (N),106 43 21.     (W),NAD 83,(1986),SCALED    , 1484.917,NAVD 88 ,POSTED    ,,,,,,,,b,,,UNK     ,1982    ,MARK NOT FOUND  ,NGS,,,D
20,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0289,-106.71806, 34.88222,EQ0289,4871,NM,BERNALILLO,ISLETA (1991),34 52 56.     (N),106 43 05.     (W),NAD 83,(1986),SCALED    , 1485.713,NAVD 88 ,POSTED    ,,,,,,,,b,,,UNK     ,1982    ,MARK NOT FOUND  ,NGS,,,D
21,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0290,-106.70861, 34.89444,EQ0290,4889,NM,BERNALILLO,ISLETA (1991),34 53 40.     (N),106 42 31.     (W),NAD 83,(1986),SCALED    , 1491.055,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20061128,GOOD            ,INDIV,Y,20061128,D
22,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0292,-106.70278, 34.90222,EQ0292,4891,NM,BERNALILLO,ISLETA (1991),34 54 08.     (N),106 42 10.     (W),NAD 83,(1986),SCALED    , 1491.595,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20061128,GOOD            ,INDIV,Y,20061128,D
23,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0296,-106.68056, 34.93000,EQ0296,4902,NM,BERNALILLO,ISLETA (1991),34 55 48.     (N),106 40 50.     (W),NAD 83,(1986),SCALED    , 1494.848,NAVD 88 ,POSTED    ,,,,,,,,b,,,UNK     ,1951    ,MARK NOT FOUND  ,CGS,,,A
24,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0299,-106.67278, 34.94556,EQ0299,4904,NM,BERNALILLO,ISLETA (1991),34 56 44.     (N),106 40 22.     (W),NAD 83,(1986),SCALED    , 1495.532,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,1982    ,MARK NOT FOUND  ,NGS,,,D
25,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=EQ0303,-106.66611, 34.98278,EQ0303,4928,NM,BERNALILLO,ISLETA (1991),34 58 58.     (N),106 39 58.     (W),NAD 83,(1986),SCALED    , 1502.849,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,1982    ,MARK NOT FOUND  ,NGS,,,D
26,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0220,-106.65639, 35.03444,FO0220,4932,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 02 04.     (N),106 39 23.     (W),NAD 83,(1986),SCALED    , 1503.899,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20050117,MARK NOT FOUND  ,GEOCAC,,,D
27,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0329,-106.64972, 35.08028,FO0329,4951,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 04 49.     (N),106 38 59.     (W),NAD 83,(1986),SCALED    , 1509.801,NAVD 88 ,POSTED    ,,,,,,,N,n,,,UNK     ,1989    ,MARK NOT FOUND  ,USPSQD,,,D
28,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0225,-106.64750, 35.08389,FO0225,4954,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 02.     (N),106 38 51.     (W),NAD 83,(1986),SCALED    , 1510.496,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20030805,MARK NOT FOUND  ,USPSQD,,,D
29,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0324,-106.68250, 35.08778,FO0324,4962 15,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 16.     (N),106 40 57.     (W),NAD 83,(1986),SCALED    , 1513.263,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20050206,MARK NOT FOUND  ,GEOCAC,,,D
30,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0325,-106.67972, 35.09083,FO0325,4962 19,NM,BERNALILLO,ALBUQUERQUE WEST (1990),35 05 27.     (N),106 40 47.     (W),NAD 83,(1986),SCALED    , 1513.285,NAVD 88 ,ADJUSTED  ,,,,,1,2,Y,,,,UNK     ,20050206,MARK NOT FOUND  ,GEOCAC,,,D
31,20140526,http://www.ngs.noaa.gov/cgi-bin/ds_mark.prl?PidBox=FO0211,-106.48583, 35.06639,FO0211,5,NM,BERNALILLO,TIJERAS (1990),35 03 59.     (N),106 29 09.     (W),NAD 83,(1986),SCALED    , 1757.851,NAVD 88 ,ADJUSTED  ,,,,,2,0,Y,,,,1934    ,1954    ,GOOD            ,USGS,,,C
